claim_id,short_name,measure,test,expected,quote,figure
1,Marginal zone B cells are up to a fifth of blood B cells,mz_percent_of_b,upper_bound,at most 20 percent of B cells,"Marginal zone B cells make up to 20% of peripheral human B cells and are important for glycan-directed antibodies crucial to clear bacterial infections (16,17).",Figure 1C
2,Plasmablasts are rare but detectable at steady state,plasmablast_percent_of_b,presence_and_rarity,a detectable population that is a small fraction of B cells,Plasmablasts are rare but detectable in steady-state and are readily detected after vaccination or during infections (Fig. 1C) (18).,Figure 1C
3,CD10 separates transitional from mature B cells,cd10_split,gate_resolves,a resolvable CD10 positive population inside B cells,CD10 has been proven useful to distinguish transitional B cells (CD10+) from mature B cells (CD10-) (Fig. 1C) (12).,Figure 1C
4,CD27 and IgD divide mature B cells into three subsets,cd27_igd_subsets,gate_resolves,naive IgD negative and IgD positive CD27 positive subsets resolved on CD27 and IgD,"CD10- mature B cells are divided in three subsets based on CD27 and IgD expression, namely naive B cells (IgD+CD27-), IgD- B cells containing plasmablasts (CD27highCD20low) and memory B cells (CD20+CD27+/-) and IgD+CD27+ B cells, which are further divided in IgM+ marginal zone (MZ) B cells and IgD-only memory B cells (Fig. 1C).",Figure 1C
5,Monocytes are identified by CD14 and scatter,cd14_monocytes,gate_resolves,a resolvable CD14 positive population with a monocyte scatter profile,"Monocytes are identified by their CD14 expression and scatter profile (Fig. 1A) (5,6).",Figure 1A
6,B cells and dendritic cells carry MHC class II and lack CD14,hladr_cd14_preselect,gate_resolves,a CD14 negative population expressing HLA-DR or CD20,"In contrast, B cells and dendritic cells express high levels of MHC class II molecules, but lack CD14. Therefore, CD14- cells expressing either MHC class II, CD20 or a combination of these markers are pre-selected for subsequent B cell and dendritic cell analysis (Fig. 1A).",Figure 1A
7,CD19 and CD20 define B cells,cd19_cd20_b_cells,gate_resolves,a resolvable CD19 positive CD20 positive population,B cells can be defined by their expression of CD19 and CD20 (Fig. 1B).,Figure 1B
8,A scatter high population contaminates the B cell gate,ssc_high_in_b_gate,presence,a detectable high scatter fraction inside the B cell gate,"In some cases, an unusual population of SSC-AhighFSC-Ahigh cells can be identified within CD19+CD20+/- B cells. These cells show similar FSC-A/SSC-A characteristics to monocytes and were, therefore, excluded from the down-stream analysis of B cells by applying a lymphocyte gate after gating B cells (Fig. 1B).",Figure 1B
9,CD123 and CD11c split dendritic cells into two subsets,pdc_mdc_split,gate_resolves,plasmacytoid and myeloid dendritic cells resolved on CD123 and CD11c,Dendritic cells express high levels of HLA-DR and are further divided into CD123+CD11c- plasmacytoid DC (pDC) or CD123-CD11c+ myeloid dendritic cells (mDC) (Fig. 1G) (46).,Figure 1G
10,CD1c and CD141 split myeloid dendritic cells into three subsets,mdc_subsets,gate_resolves,three myeloid dendritic cell subsets resolved on CD1c and CD141,"Based on CD1c and CD141, several mDC subsets are distinguished, namely CD141+CD11c- mDC (CD141+ mDC), CD141-CD1c+ mDC (CD1c+ mDC), and CD141-CD1c- double-negative (DN) mDC (DN mDC) (Fig. 1G) (6,46,48).",Figure 1G
11,The panel defines B cell subsets with twelve markers and myeloid subsets with seven,marker_counts,panel_composition,twelve of the twenty seven markers for B cell subsets and seven for monocyte and dendritic cell subsets,"Our panel enables the precise definition of B cell subsets with 12 of the 27 markers (excluding the live/dead dye), while we distinguish monocyte/DC subsets with seven markers.",none
