claim_id,short_name,measure,test,expected,quote,figure
1,CD161hi falls as severity rises,cd161hi_percent_of_cd8,spearman_vs_severity,"a negative correlation with severity rank","Loss of peripheral CD8+CD161hi T cell frequencies correlates with increased severity of COVID-19",1G
2,Healthy females carry more CD161hi than healthy males,cd161hi_percent_of_cd8,sex_difference_in_normal,"female above male among normal controls","The severity rank results showed that healthy females had greater frequencies of CD161hi cells relative to males and that females had a more dramatic loss of peripheral CD161hi cells compared with males in COVID-19",2B
3,Females lose more CD161hi than males,cd161hi_percent_of_cd8,regression_slope_by_sex,"the slope against severity rank is more negative in females","The severity rank results showed that healthy females had greater frequencies of CD161hi cells relative to males and that females had a more dramatic loss of peripheral CD161hi cells compared with males in COVID-19",2C
4,Healthy males carry more CD8 memory than healthy females,memory_percent_of_cd8,sex_difference_in_normal,"male above female among normal controls","We also found that, within the CD8+ compartments of healthy subjects, males had greater frequencies of CD8+ memory T cells (combined EMRA, EM, and CM)",2E
5,The female CD161hi advantage is absent early and middle,cd161hi_percent_of_cd8,sex_difference_by_timepoint,"female above male at late, but not at early or middle","Although the memory cell predominance in males was preserved at all time points, the greater abundance of CD161hi cells in females was lost at early and middle time points but not in late disease",2E
6,Male memory predominance holds at every time point,memory_percent_of_cd8,sex_difference_by_timepoint,"male above female at early, middle and late","Although the memory cell predominance in males was preserved at all time points, the greater abundance of CD161hi cells in females was lost at early and middle time points but not in late disease",2E
7,CD161hi is higher in females before seroconversion,cd161hi_percent_of_cd8,sex_difference_before_seroconversion,"female above male among IgG negative samples","Last, when analyzing data from individuals with confirmed COVID-19 by seroconversion status, we found that CD161hi cells were higher in females relative to males prior to seroconversion, whereas CD8+ memory cells were higher in males in seroconverted subjects",2G
8,CD8 memory is higher in males after seroconversion,memory_percent_of_cd8,sex_difference_after_seroconversion,"male above female among IgG positive samples","Last, when analyzing data from individuals with confirmed COVID-19 by seroconversion status, we found that CD161hi cells were higher in females relative to males prior to seroconversion, whereas CD8+ memory cells were higher in males in seroconverted subjects",2G
9,Naive CD8 T cells do not change,naive_percent_of_cd8,no_change_across_severity,"no significant difference across severity rank","No obvious changes of naive CD8+ T cells were found",S2C
10,NK cells are the CD56 positive control,cd56_median_nk_vs_cd8,positive_control,"NK cell CD56 above CD8 T cell CD56","(E) Expression of CD161, TCR γδ and CD56 in CD8+ T cell subsets. NK cells were used as a positive control for CD56 expression.",1E
